homolog_ID,cluster
A0A4Q0MKH4_9HYPH/40-569,0
A0A2P5G1I7_TREOI/464-951,1
F7W4W1_SORMK/115-590,2
A0A1Y1IGE8_KLENI/481-955,3
A0A9P9BHY6_9PEZI/62-535,4
A0AAE0PK84_SORBR/114-583,5
A0A175VSE7_9PEZI/31-499,6
A0AA40DS84_9PEZI/79-546,7
A0AAE0JTN4_9PEZI/41-508,7
A0AAE0MHV9_9PEZI/22-488,8
A0A0G4GUW3_VITBC/869-1330,9
A0A3N1D0P3_9ACTN/34-494,10
Q4FS52_PSYA2/23-483,11
A0A1U8Q5E9_NELNU/481-938,12
A0A1U8ACR0_NELNU/480-937,12
A0A830HRQ5_9CHLO/65-522,13
A0A138ZY42_GONPJ/515-972,14
A0A316VBY5_9BASI/7-463,15
A0AAE0NG73_9PEZI/15-470,16
A0A7D8BBC5_9BACT/537-990,17
A0A1R3GV27_COCAP/1495-1945,18
A0AA39XV49_9PEZI/127-577,19
A0AAJ0MCP3_9PEZI/13-463,20
A0A7M7SSF3_STRPU/134-582,21
A0A914BMV8_PATMI/115-563,22
A0A7U6KQ89_9GAMM/25-472,23
A0AAE0PCB7_SORBR/7-454,24
A0A8X8WBK9_SALSN/472-917,25
A0A553NNN3_TIGCA/41-484,26
A0A383WHD9_TETOB/27-470,27
A0AA40D041_9PEZI/22-465,28
A0A813H5H4_POLGL/43-486,29
A0A9X1NIE0_9ACTN/9-452,30
A0A0G4EM34_VITBC/951-1393,31
A0A4Q2DCU0_9AGAR/449-890,32
A0A0E0ADY7_9ORYZ/465-906,33
A0A6A6J3R4_9PLEO/14-454,34
A0A6G1E282_9ORYZ/477-917,33
A0A8J5SSA5_ZIZPA/479-919,35
F7VJX4_SORMK/8-447,36
A0A316YRH0_9BASI/4-443,37
A0AA36HVD5_9DINO/67-506,38
A0A6F8T3A0_9GAMM/32-470,39
A0A2V1BNB5_9HELO/34-472,40
A0AA36HUR4_9DINO/67-505,38
A0A8X8W4G6_SALSN/346-783,41
A0AA40K3C7_9PEZI/27-464,42
A0A1G9NJJ8_9ACTN/10-447,43
A0AA39WKE2_9PEZI/30-467,44
A0A0F4QJZ1_9GAMM/57-494,45
A0A1T0CKG2_9GAMM/14-450,46
A0AAE1E590_9GAST/234-670,47
A0A8J5F9Z7_ZINOF/665-1101,48
A0A7I7L2W9_9MYCO/47-482,49
A0A7I7KZE4_9MYCO/26-461,50
A0A1A3MUN0_MYCAS/63-498,51
A0AAJ3TXC9_9MYCO/66-501,52
A0A8J5KD54_ZINOF/575-1010,48
A0AA40DQ70_9PEZI/129-564,53
A0A1A3HHM6_9MYCO/67-502,54
A0A9P3QB54_9MYCO/60-495,55
A0A1X1R1A8_MYCBE/48-482,56
A0AAD8D1N6_ACIOX/130-564,57
A0A7I7NN92_9MYCO/70-504,58
A0A8J5ITJ8_ZINOF/626-1060,59
A0A433TP80_ELYCH/78-512,60
A0A086ZNG4_9BIFI/6-440,61
A0A9W4UHX5_9PLEO/15-449,62
A0A6A1UW04_9ROSI/458-892,63
A0A7Z7IKP9_9MYCO/64-498,64
A0A7H0LIH1_9SPHN/9-442,65
A0A4V1XJ24_9PEZI/2598-3031,66
G2Q4X1_THET4/5-438,67
A0A378Q909_MOROS/11-444,68
A0A9P4JKA6_9PLEO/1-434,69
A0A1R4GYL9_9GAMM/8-441,70
A0A8J3RW43_PLARO/26-459,71
D5PDS4_9MYCO/56-489,72
A0A9P5MHW8_9AGAM/17-450,73
A0A9P5MH52_9AGAM/17-449,74
A0A7I7L152_9MYCO/10-442,75
A0A1A0M3I6_9MYCO/67-499,76
A0A0D2G8H1_9EURO/4-436,77
A0A7D5GMB7_9EURY/53-485,78
G8NQC8_GRAMM/559-991,79
A0A9N8H5Z8_9STRA/117-549,80
A0A222P5D8_9GAMM/128-560,81
A0A9K3M3D3_9STRA/685-1116,82
A0A2A7NAI5_MYCAG/63-494,83
A0A1H5SG24_9BACT/619-1050,84
I4BG56_MYCCN/55-486,85
